train_batch,test_batch,mmd_score,mean_regret,median_regret,max_regret,num_queries,same_batch
6,12,0.020787034183740616,43.7225281426411,1.284936153231739,3025.686567164179,100,False
6,13,0.02201918140053749,7.161341547429474,1.2383773264760816,250.7138308368464,100,False
6,14,0.031558264046907425,6.75133520320772,1.302965793744678,361.453531598513,100,False
6,15,0.031240830197930336,320.5333017755219,1.5654100529100528,31585.626436781615,100,False
6,16,0.04009681195020676,5.319892762272368,1.284416878773047,268.87116564417175,100,False
6,17,0.024175159633159637,4.287736737281868,1.32875080928619,102.9177355909013,100,False
6,18,0.01972498744726181,3.4340493668871774,1.3809198797701763,51.08806890476656,100,False
6,19,0.029869256541132927,34.27675026502224,1.259925788497217,3201.7450980392155,100,False
6,20,0.01945813186466694,3.8733301824003377,1.3226567493755874,116.46371699254183,100,False
6,21,0.021505625918507576,2.201815183398141,1.473516064903493,16.24793388429752,100,False
6,22,0.0305153951048851,28.921992357076025,1.190030801430711,2039.4705882352944,100,False
6,23,0.04494085535407066,4.835517057815899,1.4138972809667674,118.94894102545817,39,False
7,0,0.04074644297361374,3.793847434515038,1.2440787807561118,80.17142857142856,100,False
7,1,0.018080193549394608,31.94040794636653,1.33809005039695,1240.1263157894737,100,False
7,2,0.03249705210328102,235.55767719277014,1.4011305363474262,22800.328947368424,100,False
7,3,0.020361322909593582,36.86453107456417,1.2880226601812557,3142.0909090909095,100,False
7,4,0.023197706788778305,111.57734733895677,1.2148354960149357,10680.898734177215,100,False
7,5,0.033942412585020065,5.4540731892238306,1.2008995135530691,268.79545454545456,100,False
7,6,0.0255909226834774,15.650234332549633,1.3696262888996427,458.80225172736374,100,False
7,7,0.0,2.0538998698822537,1.1377843105657393,35.92316723193321,100,True
7,8,0.021207105368375778,4.781366682422609,1.2450002333948875,187.29526627218937,100,False
7,9,0.01733403466641903,20.792031611055986,1.2442727658947557,1628.375,100,False
7,10,0.025304734706878662,13.348964900468708,1.3694915924366695,727.0943396226415,100,False
7,11,0.025408966466784477,31.57017555147071,1.4121968005637522,2375.2258064516127,100,False
7,12,0.028573378920555115,6.645939394847415,1.2488884608202158,333.8736263736264,100,False
7,13,0.017342273145914078,4.152798844808361,1.3275847590188734,65.38818734226193,100,False
7,14,0.025037307292222977,14.24152821298188,1.4254254309817502,715.8327137546468,100,False
7,15,0.01830999180674553,76.5980212677964,1.5131223525445945,7266.425287356322,100,False
7,16,0.021972279995679855,21.362387882166466,1.1868907213654158,1526.716535433071,100,False
7,17,0.01868480071425438,6.05823153763427,1.2549795700766206,199.25,100,False
